번호,오름명,행정시,소재지,비고,표고,면적
1,가마오름,제주시,한경면 청수리 1202,51,141,"154,486"
2,가메오름,제주시,애월읍 봉성리 산124,17,372,"28,371"
3,가메옥,제주시,구좌읍 송당리 1712,28,368,"22,764"
4,가메창,제주시,한경면 저지리 1496,6,146,"17,037"
5,가새기오름,제주시,오라동 산2838,20,115,"17,198"
6,감은이오름,제주시,구좌읍 송당리 산 297,37,317,"144,548"
7,개오리오름,제주시,봉개동 산78-1,117,743,"640,913"
8,갯거리오름,제주시,한림읍 명월리 15,69,254,"123,623"
9,거문오름,제주시,조천읍 선흘리 산102-1,112,457,"809,860"
10,거미오름,제주시,구좌읍 종달리 산70,115,340,"466,283"
11,거슨세미,제주시,구좌읍 송당리 산145,125,380,"661,438"
12,거친오름,제주시,구좌읍 송당리 산84-2,70,355,"197,468"
13,거친오름,제주시,봉개동 산66,154,619,"493,952"
14,걸시오름,제주시,연동 산150,82,732,"277,449"
15,검은덕이,제주시,애월읍 소길리 산118,52,402,"57,156"
16,검은들먹오름,제주시,애월읍 어도리 산1,87,712,"120,797"
17,검은오름,제주시,연동 산110,129,439,"702,094"
18,고내봉,제주시,애월읍 고내리 산3-1,135,175,"739,484"
19,고냉이슬,제주시,봉개동 165,69,305,"1,136,315"
20,골머리,제주시,노형동 산20,95,848,"54,036"
21,골체오름,제주시,조천읍 선흘리 1912,30,395,"25,726"
22,과오름,제주시,애월읍 곽지리 산4,85,155,"267,254"
23,광이오름,제주시,연동 산62,77,267,"236,701"
24,괭이모루,제주시,구좌읍 송당리 산198,33,253,"89,301"
25,괴오름,제주시,애월읍 봉성리 산41,103,653,"379,587"
26,구그네오름,제주시,조천읍 와흘리 957,47,237,"38,935"
27,굽은오름,제주시,한경면 조수2리 3666,26,96,"296,443"
28,권제오름,제주시,아라일동 350,28,298,"43,039"
29,궤펜이,제주시,조천읍 교래리 산137-1,167,792,"529,149"
30,궷물오름,제주시,애월읍 금덕리 산136-1,57,597,"138,366"
31,극락오름,제주시,애월읍 고성리 산3,64,314,"131,583"
32,금오름,제주시,한림읍 금악리 산1-1,178,428,"613,966"
33,까그래기,제주시,조천읍 교래리 128,49,429,"132,944"
34,꾀꼬리오름,제주시,조천읍 대흘리 산33,58,428,"110,674"
35,남짓은오름,제주시,연동 산25,167,297,"637,805"
36,넙거리,제주시,조천읍 교래리 산137-1,100,810,"488,263"
37,노꼬메족은오름,제주시,애월읍 유수암리 산138,124,774,"601,440"
38,노꼬메큰오름,제주시,애월읍 유수암리 산138,234,834,"923,692"
39,노로오름,제주시,애월읍 유수암리 산139,105,"1,070","475,274"
40,노리손이,제주시,연동 산137,136,616,"222,294"
41,논오름,제주시,삼양일동 558-1,13,53,"16,244"
42,높은오름,제주시,구좌읍 송당리 산213-1,175,405,"951,657"
43,누운오름,제주시,애월읍 광령리 산138-1,71,"1,711","144,548"
44,누운오름,제주시,한림읍 금악리 산10-5,57,407,"420,021"
45,눈오름,제주시,애월읍 봉성리 2952-2,31,131,"51,576"
46,눈오름,제주시,애월읍 장전리 1756,13,128,"20,780"
47,눈오름,제주시,해안동 166-5,54,204,"105,922"
48,느지리오름,제주시,한림읍 상명리 산5,85,225,"332,844"
49,늡서리,제주시,조천읍 교래리 산119,59,489,"115,505"
50,능화오름,제주시,오라동 산107,91,976,"194,370"
51,다랑쉬,제주시,구좌읍 세화리 산6,227,382,"800,463"
52,다래오름,제주시,애월읍 어음리 산25,87,697,"231,752"
53,다래오름동북쪽2,제주시,애월읍 어도리 산1,40,726,"97,951"
54,당산봉,제주시,한경면 용수리 4705,118,148,"534,135"
55,당산봉 알봉,제주시,한경면 용수리 2705,53,83,"184,267"
56,당오름,제주시,구좌읍 송당리 산199-1,69,274,"141,135"
57,당오름,제주시,조천읍 와산리 산7-1,56,306,"138,170"
58,대물동산,제주시,구좌읍 송당리 1919,17,233,"31,003"
59,대천이오름,제주시,조천읍 선흘리 산154,67,447,"135,971"
60,도두봉,제주시,도두동 산1,55,65,"80,253"
61,돌오름,제주시,월평동 산6,54,"1,279","41,620"
62,돔배오름,제주시,조천읍 교래리 산62,36,466,"117,259"
63,돝오름,제주시,구좌읍 송당리 산3,129,284,"430,425"
64,둔지봉,제주시,구좌읍 한동리 산40,152,282,"360,185"
65,뒤굽은이,제주시,구좌읍 송당리 산 39-1,52,252,"74,274"
66,들레오름,제주시,월평동 665-2,40,348,"92,971"
67,들리오름,제주시,오등동 158,47,542,"47,825"
68,마오름,제주시,한경면 저지리 산55-2,27,122,"38,946"
69,마중오름,제주시,한경면 저지리 2143-18,44,169,"120,340"
70,만세동산,제주시,애월읍 광령리 산138-1,81,"1,606","239,605"
71,말젯오름,제주시,애월읍 곽지리 산14,13,103,0
72,말찻,제주시,조천읍 교래리 산137-1,103,653,"403,935"
73,망동산,제주시,우도면 연평리 산19-1,30,88,"47,292"
74,명월오름,제주시,한림읍 명월리 1105,39,149,"60,359"
75,묘산봉,제주시,구좌읍 서김녕리 369,81,116,"157,609"
76,문도지오름,제주시,한림읍 금악리 3444,55,260,"106,436"
77,문석이오름,제주시,구좌읍 송당리 산234,67,292,"228,379"
78,물메,제주시,애월읍 수산리 산1-1,92,122,"1,932,024"
79,물장오리,제주시,봉개동 산78-2,120,937,"628,987"
80,물찻,제주시,조천읍 교래리 산137-1,167,717,"744,401"
81,민대가리동산,제주시,애월읍 광령리 산138-1,76,"1,601","184,192"
82,민오름,제주시,구좌읍 송당리 산156,102,362,"412,245"
83,민오름,제주시,오라이동 산28,117,252,"474,001"
84,민오름,제주시,조천읍 선흘리 산141,118,518,"400,724"
85,민오름(무녜오름),제주시,봉개동 산64,136,651,"518,910"
86,바농오름,제주시,조천읍 교래리 산108,142,552,"473,953"
87,큰바리메,제주시,애월읍 어음리 산21,213,763,"1,288,365"
88,밝은오름,제주시,한림읍 금악리 18-1,15,380,"15,698"
89,밝은오름,제주시,한림읍 상명리 1696,43,183,"78,972"
90,밝은오름,제주시,해안동 355-21,37,337,"33,180"
91,밧돌오름,제주시,구좌읍 송당리 산66-1,103,353,"372,226"
92,밧세미,제주시,봉개동 산3,92,392,"114,322"
93,방애오름,제주시,조천읍 교래리 산45,48,453,"475,019"
94,방일봉,제주시,노형동 2093-1,20,120,"22,101"
95,방주오름,제주시,한림읍 명월리 679,8,163,"9,975"
96,베두리오름,제주시,연동 270-3,10,85,"21,438"
97,별도봉,제주시,화북일동 4472,101,136,"242,535"
98,봉아오름,제주시,봉개동 1811-1,36,166,"57,506"
99,부대악,제주시,조천읍 선흘리 산103-1,109,469,"455,827"
100,부소악,제주시,조천읍 교래리 산2,129,469,"423,459"
101,북돌아진오름,제주시,애월읍 봉성리 산41,118,643,"338,981"
102,북오름,제주시,구좌읍 덕천리 산69,86,305,"168,850"
