oreum_id,official_record_no,name,city,address,altitude_m,area_m2,shape,attachment_status,location_status,location_grade,lat,lon,permit_context_count,farmmap_state_grade,farmmap_class,farmmap_pnu,model_status,model_screen_class,rgb_review_label,rgb_persistent_change,official_causal_grade,selective_decision
JJ-OREUM-001,1,가마오름,제주시,제주특별자치도 제주시 한경면 청수리 1202,140.5,154486.0,말굽형(북동향),corroborated,resolved_offline_osm_peak,C,33.3055566,126.2469945,1,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-002,2,가메오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산124,372.2,28371.0,복합형,corroborated,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-003,3,가메옥,제주시,제주특별자치도 제주시 구좌읍 송당리 1712,368.0,22764.0,복합형,corroborated,unresolved,U,,,3,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-004,4,가메창,제주시,제주특별자치도 제주시 한경면 저지리 1496,145.8,17037.0,원형,corroborated,unresolved,U,,,2,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-005,5,가문이오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158-2,496.2,116176.0,말굽형(남서향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.4016666,126.6881031,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-006,6,가새기오름,제주시,제주특별자치도 제주시 오라삼동 2845,115.0,17198.0,원추형,conflict,unresolved,U,,,4,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-007,7,가세오름,서귀포시,제주특별자치도 서귀포시 표선면 토산리 산2,200.5,373099.0,말굽형(서향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.3301417,126.7813194,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-008,8,가시오름,서귀포시,제주특별자치도 서귀포시 대정읍 동일리 1209,106.5,263863.0,말굽형(남서향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.2470481,126.2431521,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-009,9,각시바위,서귀포시,제주특별자치도 서귀포시 호근동 2112,395.0,585988.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.27678,126.52611,0,U,,,screen_complete_existing_v6,high_stable,cloud_haze_shadow,no,U,abstain
JJ-OREUM-010,10,감낭오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산41,439.8,117413.0,말굽형(북동향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.3249271,126.3501773,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-011,11,감은이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산 297,317.2,144548.0,원형,corroborated,resolved_offline_osm_peak,C,33.423607,126.7411155,3,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-012,12,갑선이오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산 2,188.2,252799.0,말굽형(서남향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.3608555,126.7816683,0,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-013,13,개오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 2974,344.7,338028.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.4226308,126.7719182,0,U,,,screen_complete_existing_v6,moderate_stable,pending,pending,U,abstain
JJ-OREUM-014,14,개오리오름,제주시,제주특별자치도 제주시 봉개동 산78-1,743.0,640913.0,복합형,corroborated,unresolved,U,,,2,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-015,15,갯거리오름,서귀포시,제주특별자치도 서귀포시 대포동 산1-8,708.4,64003.0,원추형,not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-016,16,갯거리오름,제주시,제주특별자치도 제주시 한림읍 명월리 15,253.5,123623.0,말굽형(서향),corroborated,resolved_offline_osm_peak,C,33.3757714,126.2927168,1,U,,,screen_complete_existing_v6,low_or_unstable,pending,pending,U,abstain
JJ-OREUM-017,17,거린(족은)오름,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,493.2,315285.0,말굽형(남동향),not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-018,18,거린(큰)오름,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,532.7,369143.0,말굽형(북서향),not_in_attachment_scope,unresolved,U,,,0,U,,,pending_v7_multi_window_gate,,pending,pending,U,abstain
JJ-OREUM-019,19,거린사슴,서귀포시,제주특별자치도 서귀포시 대포동 산 2-1,742.9,286247.0,말굽형(서향),not_in_attachment_scope,resolved_offline_osm_peak,C,33.3096056,126.4542361,0,U,,,screen_complete_existing_v6,high_unstable,pending,pending,U,abstain
JJ-OREUM-020,20,거린오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산94,298.2,247021.0,원추형,not_in_attachment_scope,resolved_offline_osm_peak,C,33.3031239,126.3319606,0,U,,,screen_complete_existing_v6,high_unstable,pending,pending,U,abstain
