farm_id,pnu,farm_class,farm_address,farm_flight_date,farm_update_date,permit_date,permit_action,permit_purpose,relation,causal_claim_allowed
501101110000524,5011011100140470002,밭,제주특별자치도 제주시 화북일동,2024-12-31,2025-12-31,20150416, 토지형질변경,-,exact_pnu_cross_source_context,False
501101120001519,5011011200107420002,밭,제주특별자치도 제주시 화북이동,2024-12-31,2025-12-31,20150611, 토지형질변경,-,exact_pnu_cross_source_context,False
501101120001550,5011011200107420002,비경지,제주특별자치도 제주시 화북이동,2024-12-31,2025-12-31,20150611, 토지형질변경,-,exact_pnu_cross_source_context,False
501101160001734,5011011600123480002,밭,제주특별자치도 제주시 봉개동,2023-12-30,2024-12-31,20160229, 토지형질변경,임시야적정,exact_pnu_cross_source_context,False
501101170000045,5011011700123430003,과수,제주특별자치도 제주시 아라일동,2019-01-01,,20260515, 토지형질변경,,exact_pnu_cross_source_context,False
501101200000135,5011012000114210002,밭,제주특별자치도 제주시 오라이동,2019-01-01,,20150227, 토지형질변경,-,exact_pnu_cross_source_context,False
501101270000324,5011012700119010003,밭,제주특별자치도 제주시 도두일동,2021-04-01,2022-12-30,20260402, 토지형질변경,대지확장,exact_pnu_cross_source_context,False
501101280000212,5011012800110850000,과수,제주특별자치도 제주시 도두이동,2019-01-01,,20260611, 토지형질변경,렌터카차고지 조성,exact_pnu_cross_source_context,False
501101320001214,5011013200103090005,비경지,제주특별자치도 제주시 용강동,2024-12-31,2025-12-31,20160323, 토지형질변경,임시 적치장,exact_pnu_cross_source_context,False
501101320001215,5011013200103090005,과수,제주특별자치도 제주시 용강동,2024-12-31,2025-12-31,20160323, 토지형질변경,임시 적치장,exact_pnu_cross_source_context,False
501101320001200,5011013200114300000,밭,제주특별자치도 제주시 용강동,2024-12-31,2025-12-31,20260227, 토지형질변경,임야 진입로 조성,exact_pnu_cross_source_context,False
501101320001207,5011013200114300000,비경지,제주특별자치도 제주시 용강동,2024-12-31,2025-12-31,20260227, 토지형질변경,임야 진입로 조성,exact_pnu_cross_source_context,False
501101320000219,5011013200114320000,밭,제주특별자치도 제주시 용강동,2023-12-30,2024-12-31,20260603, 토지형질변경,농지 및 진입로 조성,exact_pnu_cross_source_context,False
501101320000220,5011013200114320000,밭,제주특별자치도 제주시 용강동,2023-12-30,2024-12-31,20260603, 토지형질변경,농지 및 진입로 조성,exact_pnu_cross_source_context,False
501101340001964,5011013400105060000,밭,제주특별자치도 제주시 오등동,2024-12-31,2025-12-31,20260405, 물건적치,,exact_pnu_cross_source_context,False
501101340001965,5011013400105060000,밭,제주특별자치도 제주시 오등동,2024-12-31,2025-12-31,20260405, 물건적치,,exact_pnu_cross_source_context,False
501101340001966,5011013400105060000,밭,제주특별자치도 제주시 오등동,2024-12-31,2025-12-31,20260405, 물건적치,,exact_pnu_cross_source_context,False
501101340000800,5011013400111080000,밭,제주특별자치도 제주시 오등동,2024-12-31,2025-12-31,20251219, 물건적치,임시야적장 조성,exact_pnu_cross_source_context,False
501101340000694,5011013400117060001,밭,제주특별자치도 제주시 오등동,2024-12-31,2025-12-31,20150715, 토지형질변경,-,exact_pnu_cross_source_context,False
501101360001705,5011013600102920000,밭,제주특별자치도 제주시 영평동,2024-12-31,2025-12-31,20260208, 토지형질변경,화물자동차 차고지 조성,exact_pnu_cross_source_context,False
501101360001803,5011013600115990002,밭,제주특별자치도 제주시 영평동,2024-12-31,2025-12-31,20160616, 토지형질변경,임시야적장,exact_pnu_cross_source_context,False
501101380000374,5011013800108140007,밭,제주특별자치도 제주시 도평동,2019-01-01,,, 토지형질변경,노외 주차장,exact_pnu_cross_source_context,False
501101390001653,5011013900100360044,밭,제주특별자치도 제주시 해안동,2022-12-30,2023-12-28,20150812, 토지형질변경,-,exact_pnu_cross_source_context,False
501101390000902,5011013900119430001,과수,제주특별자치도 제주시 해안동,2019-01-01,,20150831, 토지형질변경,-,exact_pnu_cross_source_context,False
501101400000149,5011014000102760001,밭,제주특별자치도 제주시 내도동,2023-12-30,2024-12-31,20251224, 토지형질변경,(당초)노외주차장 조성 (변경)부설주차장 조성,exact_pnu_cross_source_context,False
501102502503042,5011025025109840001,밭,제주특별자치도 제주시 한림읍 금악리,2022-12-30,2023-12-28,20260406, 공작물설치,태양괄 발전소 조성,exact_pnu_cross_source_context,False
501102502501079,5011025025109980000,밭,제주특별자치도 제주시 한림읍 금악리,2019-01-01,,20260429, 공작물설치 토지형질변경,태양광 발전소 조성,exact_pnu_cross_source_context,False
501102502501079,5011025025109980000,밭,제주특별자치도 제주시 한림읍 금악리,2019-01-01,,20260429, 공작물설치 토지형질변경,태양광 발전소 조성,exact_pnu_cross_source_context,False
501102502501079,5011025025109980000,밭,제주특별자치도 제주시 한림읍 금악리,2019-01-01,,20260429, 공작물설치 토지형질변경,태양광 발전소 조성,exact_pnu_cross_source_context,False
501102502501079,5011025025109980000,밭,제주특별자치도 제주시 한림읍 금악리,2019-01-01,,20260605, 공작물설치 토지형질변경,태양광 발전소 조성,exact_pnu_cross_source_context,False
