year,approval_count,approved_area_ha,snapshot_date
2008,232,73.47,2026-06-30
2009,210,100.5,2026-06-30
2010,292,82.4,2026-06-30
2011,289,148.4,2026-06-30
2012,338,66.7,2026-06-30
2013,332,84.8,2026-06-30
2014,434,68,2026-06-30
2015,676,116,2026-06-30
2016,1011,129,2026-06-30
2017,981,161,2026-06-30
2018,689,129,2026-06-30
2019,796,131,2026-06-30
2020,581,105,2026-06-30
2021,732,167,2026-06-30
2022,691,210.9,2026-06-30
2023,714,230.6,2026-06-30
2024,542,74.2,2026-06-30
2025,243,30.0624,2026-06-30
2026,244,348.9404,2026-06-30
