PNU,위치명,지목명,면적(㎡),용도지역명,용도지구명,지자체코드,지자체명,개발행위코드,개발행위명,대표개발행위코드,대표개발행위명,신청일자,허가일자,개발행위목적
5011025632140190000,제주특별자치도 제주시 구좌읍 종달리 4019 ,창고용지,3580,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260720,20260803,절토
5011025921118000001,제주특별자치도 제주시 조천읍 신촌리 1800-1,전,357,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260707,20260803,노외주차장 조성
5011025923134620000,제주특별자치도 제주시 조천읍 조천리 3462,도로,240709,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260604,20260729,국유재산(도로) 포장
5011025630100100102,제주특별자치도 제주시 구좌읍 한동리 10-102 ,임야,32,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260702,20260729,대지확장(10-91번지 합병)
5011025930129150002,제주특별자치도 제주시 조천읍 선흘리 2915-2,도로,159,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260715,20260726,
5011025023118620000,제주특별자치도 제주시 한림읍 대림리 1862,묘지,99,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260713,20260729,대지확장
5011025337109050000,제주특별자치도 제주시 애월읍 곽지리 905,전,208,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260609,20260723,영농집하장 조성
5011025021109070003,제주특별자치도 제주시 한림읍 귀덕리 907-3,전,16,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260520,20260722,진입도로 개설
5011025928109000001,제주특별자치도 제주시 조천읍 와산리 900-1,전,1658,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260707,20260720,부설주차장 조성
5011025342132340000,제주특별자치도 제주시 애월읍 유수암리 3234,도로,5694,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260708,20260716,국유도로 ㅍ호장
5011025629203840000,제주특별자치도 제주시 구좌읍 상도리 산384,도로,5029,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260703,20260714,국유재산(도로) 포장
5011025025109980000,제주특별자치도 제주시 한림읍 금악리 998,전,6653,,,50110,제주특별자치도 제주시,10001, 공작물설치 토지형질변경,00001, 토지형질변경,20260605,20260702,
5011025033100160000,제주특별자치도 제주시 한림읍 금능리 16 ,목장용지,11879,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260609,20260629,액비저장조 설치
5011025327107000001,제주특별자치도 제주시 애월읍 장전리 700-1,임야,645,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260609,20260629,농지 개간
5011025025134530000,제주특별자치도 제주시 한림읍 금악리 3453,도로,575281,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260616,20260629,국유도로 포장
5011025929200340018,제주특별자치도 제주시 조천읍 교래리 산34-18 ,임야,1033,,,50110,제주특별자치도 제주시,10001, 공작물설치 토지형질변경,00001, 토지형질변경,20260623,20260730,노외주차장 조성(우수처리  경계처리  포장  주차계획 변경  사업기간 변경
5011025632117060000,제주특별자치도 제주시 구좌읍 종달리 1706,묘지,145,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260601,20260625,대지확장(종달리 1707-2번지 합병)
5011025930103430003,제주특별자치도 제주시 조천읍 선흘리 343-3,목장용지,12850,,,50110,제주특별자치도 제주시,10000, 공작물설치,10000, 공작물설치,20260623,20260629,건축물 위 태양광
5011025025109980000,제주특별자치도 제주시 한림읍 금악리 998,전,6653,,,50110,제주특별자치도 제주시,10001, 공작물설치 토지형질변경,00001, 토지형질변경,20260514,20260615,
5011025029145800000,제주특별자치도 제주시 한림읍 상대리 4580 ,도로,371935,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260528,20260615,국유도로 포장
5011025025109980000,제주특별자치도 제주시 한림읍 금악리 998,전,6653,,,50110,제주특별자치도 제주시,10001, 공작물설치 토지형질변경,00001, 토지형질변경,20260514,20260605,태양광 발전소 조성
5011025342119120000,제주특별자치도 제주시 애월읍 유수암리 1912,전,132,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260514,20260602,대지확장
5011031025101890000,제주특별자치도 제주시 한경면 금등리 189,임야,251,,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260423,20260528,농지 개간
5011013200114320000,제주특별자치도 제주시 용강동  1432,임야,6201,자연녹지지역,,50110,제주특별자치도 제주시,00001, 토지형질변경,00001, 토지형질변경,20260508,20260603,농지 및 진입로 조성
