collection,name,sensing_start_utc,publication_utc,content_bytes,platform,tile_id,cloud_cover,relative_orbit,orbit_direction,product_type
sentinel2_l2a,S2B_MSIL2A_20260628T045659_N0512_R119_T45RUM_20260628T084920.SAFE,2026-06-28T04:56:59.024000Z,2026-06-28T09:35:57.767248Z,822063423,B,45RUM,86.779892,119,,S2MSI2A
sentinel1_grd,S1D_IW_GRDH_1SDV_20260629T122138_20260629T122203_003451_006174_F84B.SAFE,2026-06-29T12:21:38.502145Z,2026-06-29T15:17:49.388306Z,1734826016,D,,,85,ASCENDING,IW_GRDH_1S
sentinel2_l2a,S2C_MSIL2A_20260630T044701_N0512_R076_T45RUM_20260630T093015.SAFE,2026-06-30T04:47:01.025000Z,2026-06-30T10:20:03.774631Z,391156694,C,45RUM,92.198044,76,,S2MSI2A
sentinel1_grd,S1D_IW_GRDH_1SDV_20260702T001034_20260702T001059_003487_0062AB_5083.SAFE,2026-07-02T00:10:34.479633Z,2026-07-02T04:05:16.764853Z,1718390620,D,,,121,DESCENDING,IW_GRDH_1S
sentinel2_l2a,S2A_MSIL2A_20260702T045241_N0512_R076_T45RUM_20260702T095512.SAFE,2026-07-02T04:52:41.024000Z,2026-07-02T10:57:32.238197Z,692012634,A,45RUM,55.91132,76,,S2MSI2A
sentinel2_l2a,S2C_MSIL2A_20260703T045701_N0512_R119_T45RUM_20260703T095511.SAFE,2026-07-03T04:57:01.025000Z,2026-07-03T11:00:42.514357Z,1114808917,C,45RUM,44.403166,119,,S2MSI2A
sentinel2_l2a,S2B_MSIL2A_20260705T044659_N0512_R076_T45RUM_20260705T083506.SAFE,2026-07-05T04:46:59.024000Z,2026-07-05T09:17:03.678677Z,633768128,B,45RUM,64.30285,76,,S2MSI2A
sentinel1_grd,S1D_IW_GRDH_1SDV_20260707T001841_20260707T001906_003560_006530_3F50.SAFE,2026-07-07T00:18:41.961719Z,2026-07-07T04:03:01.600415Z,1718716425,D,,,19,DESCENDING,IW_GRDH_1S
sentinel2_l2a,S2B_MSIL2A_20260708T045659_N0512_R119_T45RUM_20260708T084403.SAFE,2026-07-08T04:56:59.024000Z,2026-07-08T09:27:45.716758Z,901011404,B,45RUM,89.433187,119,,S2MSI2A
sentinel2_l2a,S2C_MSIL2A_20260710T044701_N0512_R076_T45RUM_20260710T095809.SAFE,2026-07-10T04:47:01.025000Z,2026-07-10T11:00:14.373894Z,592407999,C,45RUM,74.48352,76,,S2MSI2A
sentinel1_grd,S1D_IW_GRDH_1SDV_20260711T122139_20260711T122204_003626_00675A_805D.SAFE,2026-07-11T12:21:39.156915Z,2026-07-11T15:12:06.438568Z,1734852254,D,,,85,ASCENDING,IW_GRDH_1S
sentinel2_l2a,S2C_MSIL2A_20260713T045701_N0512_R119_T45RUM_20260713T095014.SAFE,2026-07-13T04:57:01.024000Z,2026-07-13T10:46:54.082389Z,713959523,C,45RUM,95.204401,119,,S2MSI2A
sentinel1_grd,S1D_IW_GRDH_1SDV_20260714T001035_20260714T001100_003662_00689F_377F.SAFE,2026-07-14T00:10:35.266153Z,2026-07-14T03:51:40.822527Z,1718366444,D,,,121,DESCENDING,IW_GRDH_1S
