dataset,year,key,scope,periods_available,periods_used,cloud_proxy_mean,zero_proxy_mean,bad_proxy_mean,worst_period_bad_mean
v1,2023,22528_-367616,model_used_4,12,4,0.0007779598236083984,2.86102294921875e-06,0.0007808208465576172,0.0031232833862304688
v1,2023,22528_-367616,all_12,12,12,0.08726111799478531,9.5367431640625e-07,0.08726207166910172,0.9246883392333984
v1,2023,22528_-368640,model_used_4,12,4,0.00014543533325195312,3.814697265625e-06,0.00014925003051757812,0.0005970001220703125
v1,2023,22528_-368640,all_12,12,12,0.08614929765462875,1.271565793103946e-06,0.08615056425333023,0.7336292266845703
v1,2023,22528_-369664,model_used_4,12,4,0.004640817642211914,9.5367431640625e-07,0.00464177131652832,0.018469810485839844
v1,2023,22528_-369664,all_12,12,12,0.04776597023010254,3.178914482759865e-07,0.04776628687977791,0.47312450408935547
v1,2023,22528_-370688,model_used_4,12,4,0.015027284622192383,9.5367431640625e-07,0.015028238296508789,0.06010913848876953
v1,2023,22528_-370688,all_12,12,12,0.048736173659563065,3.178914482759865e-07,0.04873649403452873,0.5382671356201172
v1,2023,22528_-371712,model_used_4,12,4,0.09824109077453613,0.0,0.09824109077453613,0.3929576873779297
v1,2023,22528_-371712,all_12,12,12,0.06499847024679184,7.947286206899662e-08,0.06499854475259781,0.6228399276733398
v1,2023,22528_-372736,model_used_4,12,4,0.060425758361816406,0.0,0.060425758361816406,0.24169158935546875
v1,2023,22528_-372736,all_12,12,12,0.03968898579478264,0.0,0.03968898579478264,0.4185924530029297
v1,2023,23552_-367616,model_used_4,12,4,0.0039408206939697266,1.9073486328125e-06,0.003942728042602539,0.015299797058105469
v1,2023,23552_-367616,all_12,12,12,0.0812428817152977,6.35782896551973e-07,0.08124351501464844,0.8962230682373047
v1,2023,23552_-368640,model_used_4,12,4,0.009065628051757812,1.1920928955078125e-06,0.00906682014465332,0.02952861785888672
v1,2023,23552_-368640,all_12,12,12,0.12101665884256363,3.97364289028701e-07,0.12101706117391586,0.9636011123657227
v1,2023,23552_-369664,model_used_4,12,4,0.0296173095703125,2.6226043701171875e-06,0.029619932174682617,0.10582447052001953
v1,2023,23552_-369664,all_12,12,12,0.11067652702331543,8.742014756535355e-07,0.11067739874124527,0.870849609375
v1,2023,23552_-370688,model_used_4,12,4,0.10733485221862793,3.5762786865234375e-06,0.10733842849731445,0.4256134033203125
v1,2023,23552_-370688,all_12,12,12,0.08570560067892075,2.1457672119140625e-06,0.08570774644613266,0.7776107788085938
v1,2023,23552_-371712,model_used_4,12,4,0.23761701583862305,2.86102294921875e-06,0.23761987686157227,0.9504547119140625
v1,2023,23552_-371712,all_12,12,12,0.0863041877746582,1.271565793103946e-06,0.08630546182394028,0.9537725448608398
v1,2023,23552_-372736,model_used_4,12,4,0.1552121639251709,7.867813110351562e-06,0.15522003173828125,0.6208572387695312
v1,2023,23552_-372736,all_12,12,12,0.07570377737283707,2.702077154026483e-06,0.07570648193359375,0.6956396102905273
v1,2023,24576_-367616,model_used_4,12,4,0.030283212661743164,0.0,0.030283212661743164,0.12106704711914062
v1,2023,24576_-367616,all_12,12,12,0.11828064918518066,0.0,0.11828064918518066,0.9996662139892578
v1,2023,24576_-368640,model_used_4,12,4,0.0695044994354248,0.0,0.0695044994354248,0.22980690002441406
v1,2023,24576_-368640,all_12,12,12,0.1729954034090042,0.0,0.1729954034090042,0.9999628067016602
v1,2023,24576_-369664,model_used_4,12,4,0.12708663940429688,0.0,0.12708663940429688,0.39824485778808594
v1,2023,24576_-369664,all_12,12,12,0.12545998394489288,0.0,0.12545998394489288,0.772186279296875
v1,2023,24576_-370688,model_used_4,12,4,0.11638832092285156,1.6689300537109375e-06,0.11638998985290527,0.45249176025390625
v1,2023,24576_-370688,all_12,12,12,0.13347895443439484,5.563099989558395e-07,0.1334795206785202,0.8281373977661133
